project_id,stratum,stage,rank,rule_id,passed,pending,reason
adaptivecpp,hpc,frame,,S1,True,False,resolvable repository entry: adaptivecpp/adaptivecpp
adaptivecpp,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
amgcl,hpc,frame,,S1,True,False,resolvable repository entry: ddemidov/amgcl
amgcl,hpc,frame,,S2,True,False,installable from local checkout: setup.py on branch master (probed 2026-08-19T18:00:31Z)
amgcl,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
amrex,hpc,frame,,S1,True,False,resolvable repository entry: amrex-codes/amrex
amrex,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
arraymancer,hpc,frame,,S1,True,False,resolvable repository entry: mratsim/arraymancer
arraymancer,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
blis,hpc,frame,,S1,True,False,resolvable repository entry: flame/blis
blis,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
chapel,hpc,frame,,S1,True,False,resolvable repository entry: chapel-lang/chapel
chapel,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
cuda-oxide,hpc,frame,,S1,True,False,resolvable repository entry: nvlabs/cuda-oxide
cuda-oxide,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
dace,hpc,frame,,S1,True,False,resolvable repository entry: spcl/dace
dace,hpc,frame,,S2,True,False,installable from local checkout: setup.py on branch main (probed 2026-08-19T18:00:31Z)
dace,hpc,frame,,S4,False,False,"excluded named example: named divergent paper-vs-software example, arXiv:2608.17159 sec. 4.4"
dealii,hpc,frame,,S1,True,False,resolvable repository entry: dealii/dealii
dealii,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
drake,hpc,frame,,S1,True,False,resolvable repository entry: ropensci/drake
drake,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
elmerfem,hpc,frame,,S1,True,False,resolvable repository entry: elmercsc/elmerfem
elmerfem,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
envpool,hpc,frame,,S1,True,False,resolvable repository entry: sail-sg/envpool
envpool,hpc,frame,,S2,True,False,installable from local checkout: setup.py on branch main (probed 2026-08-19T18:00:31Z)
envpool,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
faasm,hpc,frame,,S1,True,False,resolvable repository entry: faasm/faasm
faasm,hpc,frame,,S2,True,False,installable from local checkout: pyproject.toml on branch main (probed 2026-08-19T18:00:31Z)
faasm,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
fluidx3d,hpc,frame,,S1,True,False,resolvable repository entry: projectphysx/fluidx3d
fluidx3d,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
geant4,hpc,frame,,S1,True,False,resolvable repository entry: geant4/geant4
geant4,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
gpumd,hpc,frame,,S1,True,False,resolvable repository entry: brucefan1983/gpumd
gpumd,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
hdf5,hpc,frame,,S1,True,False,resolvable repository entry: hdfgroup/hdf5
hdf5,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
hermit-rs,hpc,frame,,S1,True,False,resolvable repository entry: hermit-os/hermit-rs
hermit-rs,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
horovod,hpc,frame,,S1,True,False,resolvable repository entry: horovod/horovod
horovod,hpc,frame,,S2,True,False,installable from local checkout: setup.py on branch master (probed 2026-08-19T18:00:31Z)
horovod,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
hypre,hpc,frame,,S1,True,False,resolvable repository entry: hypre-space/hypre
hypre,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
kernel,hpc,frame,,S1,True,False,resolvable repository entry: hermit-os/kernel
kernel,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
kokkos,hpc,frame,,S1,True,False,resolvable repository entry: kokkos/kokkos
kokkos,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
kratos,hpc,frame,,S1,True,False,resolvable repository entry: kratosmultiphysics/kratos
kratos,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
mfem,hpc,frame,,S1,True,False,resolvable repository entry: mfem/mfem
mfem,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
mpi4py,hpc,frame,,S1,True,False,resolvable repository entry: mpi4py/mpi4py
mpi4py,hpc,frame,,S2,True,False,"installable from local checkout: pyproject.toml, setup.py on branch master (probed 2026-08-19T18:00:31Z)"
mpi4py,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
mpich,hpc,frame,,S1,True,False,resolvable repository entry: pmodels/mpich
mpich,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
neanderthal,hpc,frame,,S1,True,False,resolvable repository entry: uncomplicate/neanderthal
neanderthal,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
nnpack,hpc,frame,,S1,True,False,resolvable repository entry: maratyszcza/nnpack
nnpack,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
ohpc,hpc,frame,,S1,True,False,resolvable repository entry: openhpc/ohpc
ohpc,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
ompi,hpc,frame,,S1,True,False,resolvable repository entry: open-mpi/ompi
ompi,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
openmc,hpc,frame,,S1,True,False,resolvable repository entry: openmc-dev/openmc
openmc,hpc,frame,,S2,True,False,installable from local checkout: pyproject.toml on branch master (probed 2026-08-19T18:00:31Z)
openmc,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
precice,hpc,frame,,S1,True,False,resolvable repository entry: precice/precice
precice,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
prometeo,hpc,frame,,S1,True,False,resolvable repository entry: zanellia/prometeo
prometeo,hpc,frame,,S2,True,False,installable from local checkout: setup.py on branch master (probed 2026-08-19T18:00:31Z)
prometeo,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
rose,hpc,frame,,S1,True,False,resolvable repository entry: llnl/rose
rose,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
rsmpi,hpc,frame,,S1,True,False,resolvable repository entry: rsmpi/rsmpi
rsmpi,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
spack,hpc,frame,,S1,True,False,resolvable repository entry: spack/spack
spack,hpc,frame,,S2,True,False,installable from local checkout: pyproject.toml on branch master (probed 2026-08-19T18:00:31Z)
spack,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
sse2neon,hpc,frame,,S1,True,False,resolvable repository entry: dltcollab/sse2neon
sse2neon,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
sundials,hpc,frame,,S1,True,False,resolvable repository entry: llnl/sundials
sundials,hpc,frame,,S2,True,False,installable from local checkout: pyproject.toml on branch main (probed 2026-08-19T18:00:31Z)
sundials,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
targets,hpc,frame,,S1,True,False,resolvable repository entry: ropensci/targets
targets,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch main (probed 2026-08-19T18:00:31Z); not installable from local checkout
taskflow,hpc,frame,,S1,True,False,resolvable repository entry: taskflow/taskflow
taskflow,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
thread-pool,hpc,frame,,S1,True,False,resolvable repository entry: bshoshany/thread-pool
thread-pool,hpc,frame,,S2,True,False,installable from local checkout: pyproject.toml on branch master (probed 2026-08-19T18:00:31Z)
thread-pool,hpc,frame,,S4,False,False,"excluded named example: named consistent-but-paper-anchored example, sec. 4.4"
trilinos,hpc,frame,,S1,True,False,resolvable repository entry: trilinos/trilinos
trilinos,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
ucx,hpc,frame,,S1,True,False,resolvable repository entry: openucx/ucx
ucx,hpc,frame,,S2,False,False,no pyproject.toml or setup.py at repository root on branch master (probed 2026-08-19T18:00:31Z); not installable from local checkout
zfp,hpc,frame,,S1,True,False,resolvable repository entry: llnl/zfp
zfp,hpc,frame,,S2,True,False,installable from local checkout: setup.py on branch master (probed 2026-08-19T18:00:31Z)
zfp,hpc,frame,,S4,True,False,not a named example from the supply-side preprint
faasm,hpc,walk,1,S3,True,False,no ecosystem-position collision with accepted members
